messages_author_id,threads_author_id
3445948,3605829
3787515,3917056
4066324,696601
2991197,3463366
881880,3946940
3508983,3748944
13852,1311455
3810552,3965745
3619622,3688301
3512936,1949455
3476163,3463842
425126,3527465
139217,1295455
3666565,3869854
3522307,3620098
3844024,3812890
3509696,4000253
3950283,3975960
3483955,3603108
1666938,3452857
267389,3510209
2375305,2601541
3456232,3569802
3701705,3744253
2495371,3930446
217626,158897
3890272,3753533
3607204,452292
745314,141773
3638301,3658239
4147765,3591337
3642145,3800969
3455395,153263
3810552,4072299
425126,706295
3907626,3867739
3451041,4075610
753524,107084
2874535,3628162
3870884,3966050
3907737,3846824
3526180,3801551
3232635,3474478
3511002,3554631
644382,1494468
4049039,3978263
3835475,4129366
3450475,3475734
2352966,3480702
3487124,3524317
3456447,1803893
2266384,171918
280672,3645547
1257194,1836688
143,2967094
3845153,498100
3900662,4102953
592540,3823328
3929962,3495996
3489750,3516437
1454027,3705338
3693743,3446082
4136612,384040
2266384,3766085
2132374,3513406
3800630,3936828
2927284,3866148
3509365,3690973
3653683,3622332
2741872,4074331
3466419,3875834
3865032,3830620
3616262,3576346
3475819,3557626
3750610,3816355
3822525,4136598
1627250,1578378
3658082,4064973
1320374,3629169
4109353,3858566
1437881,3494771
217,325777
4060524,304451
4048499,3660516
3788915,3823603
3585813,3487255
2120732,3178615
3640783,3755834
3777943,3626557
3825365,3875369
751647,3502767
1852395,1724565
3730271,4084027
4037144,3779661
3693743,2362625
3642672,4183714
3604853,3799693
3695077,3671718
3623226,3612171
3926972,2614300
3448686,1454990
3748671,3507245
1233404,1605152
3638543,3884892
3805661,761264
1981535,2040022
1801817,2312792
3994402,4107313
4054555,256
3458603,3453894
4006012,3846821
3652775,308040
3925628,3463719
928117,2398259
3866551,3855558
3961387,3821114
3693743,3583370
516485,6726
3847585,3942683
4122498,3705568
3787515,3738401
3461695,3468538
1966046,2923378
1529222,3528603
4040903,371751
1906017,3765946
1666274,524686
2683403,1129528
3916292,3904734
4047695,3658082
325988,106411
789,3587447
3513558,3635104
3449439,3502763
216526,16056
3925628,3442186
3519026,3496939
881880,1977360
3503773,3528764
592540,165574
3929,3470324
3647803,3650087
3931853,122114
3490246,3298040
4054688,1381649
3693743,14185
3696488,3486137
3588893,3491180
388,1490903
3489062,3568296
795502,456272
3866551,3862694
3472197,3456255
3638026,3557396
2266384,3806837
3552129,3574295
143,3492675
247818,2382035
3960805,4209290
3809605,3801202
3481852,3553703
4163330,3495378
3583224,3786009
243246,436160
3795943,3860285
1982057,3744249
3660212,3475734
1381352,3931536
1384451,3419942
3632770,3630752
4110180,3586128
592540,3605830
3583224,3866037
